Data,Hora,Liga,Time_Casa,Time_Visitante
27/12/2025,09:30,Scottish Premiership,Hibernian,Hearts
27/12/2025,11:00,Serie A,Lecce,Como
27/12/2025,11:00,Serie A,Torino,Cagliari
27/12/2025,12:00,Premier League,Liverpool,Wolves
27/12/2025,12:00,Premier League,Arsenal,Brighton
27/12/2025,12:00,Premier League,West Ham,Fulham
27/12/2025,12:00,Premier League,Burnley,Everton
27/12/2025,12:00,Premier League,Brentford,Bournemouth
27/12/2025,12:00,Pro League,La Louvière,OH Leuven
27/12/2025,12:00,Scottish Premiership,Livingston,Celtic
27/12/2025,12:00,Scottish Premiership,Rangers,Motherwell
27/12/2025,12:00,Scottish Premiership,Dundee,Falkirk
27/12/2025,12:00,Scottish Premiership,St Mirren,Kilmarnock
27/12/2025,14:00,Serie A,Udinese,Lazio
27/12/2025,14:15,Pro League,Mechelen,Dender
27/12/2025,14:30,Premier League,Chelsea,Aston Villa
27/12/2025,14:45,Scottish Premiership,Aberdeen,Dundee Utd
27/12/2025,16:45,Serie A,Pisa,Juventus
27/12/2025,16:45,Pro League,Gent,Westerlo Propaganda
28/12/2025,08:30,Serie A,Milan,Verona
28/12/2025,11:00,Premier League,Sunderland,Leeds
28/12/2025,11:00,Serie A,Cremonese,Napoli
28/12/2025,13:30,Premier League,Crystal Palace,Tottenham
28/12/2025,14:00,Serie A,Bologna,Sassuolo
28/12/2025,16:45,Serie A,Atalanta,Inter
29/12/2025,15:00,Championship,Coventry,Ipswich
29/12/2025,16:45,Championship,Leicester,Derby
29/12/2025,16:45,Championship,Stoke,Sheffield Utd
29/12/2025,16:45,Championship,Wrexham,Preston
29/12/2025,16:45,Championship,Norwich,Watford
29/12/2025,16:45,Championship,Middlesbrough,Hull
29/12/2025,16:45,Championship,Millwall,Bristol City
29/12/2025,16:45,Championship,West Brom,QPR
29/12/2025,16:45,Championship,Sheffield Wed,Blackburn
29/12/2025,16:45,Championship,Oxford Utd,Swansea
29/12/2025,16:45,Championship,Portsmouth,Charlton
29/12/2025,16:45,Serie A,Roma,Genoa
29/12/2025,17:15,Championship,Birmingham,Southampton
30/12/2025,16:30,Premier League,Chelsea,Bournemouth
30/12/2025,16:30,Premier League,Burnley,Newcastle
30/12/2025,16:30,Premier League,West Ham,Brighton
30/12/2025,16:30,Premier League,Forest,Everton
30/12/2025,16:45,Scottish Premiership,Rangers,St Mirren
30/12/2025,16:45,Scottish Premiership,Hibernian,Aberdeen
30/12/2025,16:45,Scottish Premiership,Livingston,Dundee Utd
30/12/2025,16:45,Scottish Premiership,Dundee,Kilmarnock Propaganda
30/12/2025,17:00,Scottish Premiership,Motherwell,Celtic
30/12/2025,17:15,Premier League,Arsenal,Aston Villa
30/12/2025,17:15,Premier League,Man Utd,Wolves
01/01/2026,09:30,Championship,Blackburn,Wrexham
01/01/2026,12:00,Championship,Southampton,Millwall
01/01/2026,12:00,Championship,Ipswich,Oxford Utd
01/01/2026,12:00,Championship,Watford,Birmingham
01/01/2026,12:00,Championship,Charlton,Coventry
01/01/2026,12:00,Championship,QPR,Norwich
01/01/2026,12:00,Championship,Derby,Middlesbrough
01/01/2026,12:00,Championship,Hull,Stoke
01/01/2026,12:00,Championship,Swansea,West Brom
01/01/2026,12:00,Championship,Bristol City,Portsmouth
